#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.500    -98.125    -22.397    -66.578     30.330    216.450    151.577
      1.000    -39.047     70.446     23.442    205.981    154.923    208.506
      1.500     60.914    121.341    109.174    193.865     48.657    134.418
      2.000    150.665    136.904    166.980    165.140     13.596     96.807
      2.500    227.678    139.641    209.837    142.910     -2.652     74.621
      3.000    294.790    136.023    243.374    125.537    -11.818     59.526
      3.500    354.016    128.669    270.328    111.367    -17.599     48.291
      4.000    406.703    118.894    292.254     99.381    -21.500     39.415
      4.500    453.785    107.458    310.134     88.947    -24.244     32.102
      5.000    495.936     94.841    324.631     79.657    -26.223     25.886
      5.500    533.658     81.369    336.220     71.232    -27.665     20.473
      6.000    567.335     67.275    345.255     63.475    -28.712     15.667
      6.500    597.264     52.732    352.005     56.243    -29.458     11.333
      7.000    623.681     37.877    356.681     49.425    -29.964      7.372
      7.500    646.772     22.817    359.452     42.936    -30.274      3.710
      8.000    666.682      7.645    360.453     36.707    -30.418      0.293
      8.500    683.529     -7.565    359.795     30.680    -30.418     -2.925
      9.000    697.401    -22.742    357.569     24.807    -30.290     -5.979
      9.500    708.364    -37.824    353.850     19.045    -30.041     -8.897
     10.000    716.465    -52.755    348.699     13.356    -29.680    -11.705
     10.500    721.730    -67.476    342.167      7.704    -29.207    -14.423
